id,created_at,screen_name,user_name,user_location,text
594171072267755521,Fri May 01 16:06:37 +0000 2015,MiQL,"svr.on('fleek', cb)",space is the place,#talkpay is great.
594171077984550913,Fri May 01 16:06:38 +0000 2015,othiym23,Forrest L Norvell,the outside lands,"#talkpay DM ""full stack JS + Java, only dev in dept @ Midwest Uni, $50k, no bonus/raise/growth, WW"""
594171091192516610,Fri May 01 16:06:41 +0000 2015,aestetix,aestetix,Manutius,"Reading #talkpay makes me wonder if I suck at salary negotiations, or companies do serious exploitation if you're not arrogant."
594171187216912384,Fri May 01 16:07:04 +0000 2015,calebthompson,Caleb Thompson,"Austin, TX","'08: $65k
'10: $85k
'12: $115k + $10k stock + ~$5k yearly bonus
'15: $120k + $75k stock

white/male/ruby dev/texas #talkpay"
594171244309778432,Fri May 01 16:07:18 +0000 2015,_nadine,_nadine,Toronto,"I would be interested to see how salaries changed when ""Graphic Designer"" morphed into ""UX Designer"" or ""Experience Designer"" #talkpay"
594171254594207744,Fri May 01 16:07:20 +0000 2015,millermedeiros,Miller Medeiros,"Belo Horizonte, Brasil",companies undervalue internal talent. getting hired after internship might reduce your income for years; 200% of nothing == nothing #talkpay
594171263293075459,Fri May 01 16:07:22 +0000 2015,epersonae,Elaine Nelson ,"Olympia, WA","ITS4 is the generic ""IT specialist"" classification. my job title is CMS Specialist, which == ""web developer"" #talkpay"
594171314518167555,Fri May 01 16:07:35 +0000 2015,susie_c,Susie Cagle,"Oakland, CA",I'll play #talkpay -- most I ever made at a staff journalism job was 40k. Freelance is of course more volatile but much better for me.
594171368813506560,Fri May 01 16:07:48 +0000 2015,noopkat,Suz Hinton,New Dork Kitty,I have seen visa holding colleagues bullied in past job as another colleague took it personally when they read their posted salary #talkpay
594171380461117441,Fri May 01 16:07:50 +0000 2015,SarahinLanc,Sarah E. Billings,"Lancaster, PA",@bretsw this is really interesting! I think it's good. It's especially hard in the #nonprofit sector. #talkpay
594171448262012928,Fri May 01 16:08:07 +0000 2015,RETRYJack,Jack Lowinger,,#talkpay won't benefit employees if there are market reasons highest salaries aren't median. Raising median might just mean fewer job opps.
594171465085227010,Fri May 01 16:08:11 +0000 2015,susie_c,Susie Cagle,"Oakland, CA",And I'm writing a story about #talkpay for 50 cents/word.
594171476099477504,Fri May 01 16:08:13 +0000 2015,hcatlin,Hampton,San Francisco,"Oh, one last #talkpay, 6 years ago I launched a free iPhone Dictionary, and that still makes about $1.2k/month https://t.co/4wBOogrhPa"
594171560056913920,Fri May 01 16:08:33 +0000 2015,donpdonp,Don Park,"Portland, Or",2010-2014: Software dev consulting at $50-85/hr. half year contract/half year self-projects [@icecondor @cointhink]. #talkpay
594171563978661888,Fri May 01 16:08:34 +0000 2015,tonylukasavage,Tony Lukasavage,Theory. Everything works here.,#talkpay is teaching me that many developers I revere are underpaid
594171650490421248,Fri May 01 16:08:55 +0000 2015,SarahinLanc,Sarah E. Billings,"Lancaster, PA",@radiomorillo so true. #talkpay
594171653837299712,Fri May 01 16:08:56 +0000 2015,joeday,Joe Day,Seattle,@jina curious why you decided to #talkpay
